0.8873	3100
0.8873	-3-100
0.8878	-5-90
0.8878	590
0.9014	780
0.9014	-7-80
0.9127	1060
0.9127	-10-60
0.9244	-4-100
0.9244	4100
0.9277	970
0.9277	-9-70
0.9301	690
0.9301	-6-90
0.9484	880
0.9484	-8-80
0.9637	5100
0.9637	-5-100
0.9743	-7-90
0.9743	790
0.9784	-10-70
0.9784	1070
0.9966	980
0.9966	-9-80
1.0050	-6-100
1.0050	6100
1.0199	890
1.0199	-8-90
1.0459	1080
1.0459	-10-80
1.0480	7100
1.0480	-7-100
1.0669	-9-90
1.0669	990
1.0925	-8-100
1.0925	8100
1.1151	1090
1.1151	-10-90
1.1384	-9-100
1.1384	9100
1.1854	-10-100
1.1854	10100
628.3185	001
628.3185	00-1
628.3185	10-1
628.3185	-101
628.3185	-10-1
628.3185	101
628.3185	-111
628.3185	-11-1
628.3185	1-11
628.3185	1-1-1
628.3185	01-1
628.3185	0-11
628.3185	0-1-1
628.3185	011
628.3185	-211
628.3185	-21-1
628.3185	2-1-1
628.3185	2-11
628.3185	-201
628.3185	20-1
628.3185	201
628.3185	-20-1
628.3185	-1-1-1
628.3185	-1-11
628.3185	11-1
628.3185	111
628.3185	-121
628.3185	-12-1
628.3185	1-21
628.3185	1-2-1
628.3185	2-21
628.3185	-221
628.3185	-22-1
628.3185	2-2-1
628.3186	3-11
628.3186	3-1-1
628.3186	-31-1
628.3186	-311
628.3186	02-1
628.3186	021
628.3186	0-21
628.3186	0-2-1
628.3186	-2-1-1
628.3186	-2-11
628.3186	21-1
628.3186	211
628.3186	3-2-1
628.3186	-32-1
628.3186	3-21
628.3186	-321
628.3186	-30-1
628.3186	301
628.3186	30-1
628.3186	-301
628.3186	-1-2-1
628.3186	12-1
628.3186	-1-21
628.3186	121
628.3186	-23-1
628.3186	2-31
628.3186	-231
628.3186	2-3-1
628.3186	-411
628.3186	4-11
628.3186	4-1-1
628.3186	-41-1
628.3186	4-21
628.3186	-42-1
628.3186	-421
628.3186	4-2-1
628.3186	-13-1
628.3186	1-31
628.3186	-131
628.3186	1-3-1
628.3186	3-3-1
628.3186	3-31
628.3186	-331
628.3186	-33-1
628.3186	311
628.3186	-3-11
628.3186	-3-1-1
628.3186	31-1
628.3186	-40-1
628.3186	-401
628.3186	401
628.3186	40-1
628.3186	-2-21
628.3186	-2-2-1
628.3186	22-1
628.3186	221
628.3186	0-3-1
628.3186	03-1
628.3186	031
628.3186	0-31
628.3186	4-31
628.3186	-43-1
628.3186	4-3-1
628.3186	-431
628.3186	-521
628.3186	5-2-1
628.3186	5-21
628.3186	-52-1
628.3186	-51-1
628.3186	-511
628.3186	5-11
628.3186	5-1-1
628.3186	-1-31
628.3186	131
628.3186	-1-3-1
628.3186	13-1
628.3186	-4-11
628.3186	41-1
628.3186	-4-1-1
628.3186	411
628.3186	5-3-1
628.3186	-53-1
